Group,N,Reward_mean,Reward_std,Reward_CI,Cost_mean,Cost_std,Cost_CI
BC-Expert,6,2.664790930129875,1.094366169280472,0.875675310790469,64.00666666666666,6.381293494791373,5.106098233985626
CVPO,6,3.0701724870940974,3.6926488652799305,2.9547344696063567,196.88666666666668,67.67549945635176,54.15167764031365
Guided-h125,18,5.072766220714311,2.5735806639871477,1.1889336084314481,158.02444444444444,79.34864231925143,36.65720253376718
Guided-h250,18,5.601910760794599,4.209385016529669,1.9446366640112756,195.94444444444446,99.02219419802232,45.745919803523286
Guided-h375,18,7.3064532841618774,2.7092263754000823,1.2515987299857017,206.7811111111111,100.99320873433777,46.656482063227955
Guided-All,54,5.993710088556928,3.329812178997495,0.8881348846990988,186.91666666666663,94.24139488268392,25.136273723166564
